Pressure,Temp,nbot,fe_mant,feO_mant,S_mant,silicate_olivine%,ol_frac,C_metal,cf,Liq_frac,ave_ni,ni_err,ave_co,co_err,ave_cr,cr_err,ave_nb,nb_err,ave_w,w_err,ave_v,v_err,ave_mo,mo_err,ave_si,si_err,ave_mn,mn_err,ni_act,fe_act,Ol_D_Cr,Ol_D_V,Ol_D_Ni,Ol_D_Co
0.5,1869.899,2.198,0.300,0.386,0.001,0.1000,0.0632,3.000,0.36836,0.56848,48052.94915660201,29744.988978562822,5488.839904340844,2575.1042578443326,7.71773011621838,0.908218503908195,1.5165684272339024,0.5288597581268878,13838972.082174517,21171376.627664726,7.024213950437952,1.1070202217834746,5818573.176798988,4215473.516259862,0.12103094822662344,0.01058643235143295,0.2610576641266561,0.01972676122687604,1.19163,0.49953,0.85000,5.05574,1.17146,0.75112
0.5,1869.899,2.198,0.300,0.386,0.001,0.1000,0.0632,4.000,0.36836,0.56848,41927.235714650225,25941.146730962755,4908.697837338052,2295.5933851092304,7.9762425292265675,0.9494020199680575,1.4628376578649138,0.5074515765466154,14458407.715714537,22121446.501458187,8.782757659064035,1.490078624699654,6878025.028546236,4983750.015745777,0.08895020948918415,0.007770655843016188,0.26991355767837055,0.02040752658333542,1.19163,0.49953,0.85000,4.76467,1.17146,0.75112
0.5,1869.899,2.198,0.300,0.386,0.001,0.1000,0.0632,5.000,0.36836,0.56848,36624.45660375498,22648.177381060803,4395.22447734302,2048.258382752062,8.235442160603332,0.9912588698667101,1.3706973434065703,0.47119372446224356,14468264.640112795,22138213.031377107,10.841013355890736,1.9853543460651961,7911719.33009491,5733360.228045538,0.0644133506808345,0.005622984597868473,0.2790216676902541,0.021108839751622213,1.19163,0.49953,0.85000,4.45475,1.17146,0.75112
0.5,1869.899,2.198,0.300,0.386,0.001,0.1000,0.0632,5.429,0.36836,0.56848,34575.75373162162,21378.188803874204,4193.4067684679585,1951.1534415076367,8.346367618359979,1.0093827921515568,1.322776440023524,0.4524542641961908,14298365.687557992,21878499.78577907,11.811127130201848,2.2353131713150187,8338363.551552238,6042927.704581665,0.05602396605009567,0.004888760132656261,0.28292629058384233,0.021410951295483333,1.19163,0.49953,0.85000,4.31827,1.17146,0.75112
0.5,1859.891,2.057,0.300,0.386,0.001,0.2000,0.1263,0.001,0.36836,0.50531,62998.23059257214,33020.275849425896,7205.6187571563005,3094.7151547973745,6.287888881449153,0.6716103045730202,1.3506003538896538,0.4578196606387357,9743783.550690353,14827885.800709914,2.25785246945132,0.2672347115199422,3029610.4686269797,2196963.183628023,0.28899369948219705,0.025218403301117114,0.2341722028803178,0.017753145297086048,1.21932,0.52401,0.85000,5.49048,1.40921,0.80697
0.5,1859.891,2.057,0.300,0.386,0.001,0.2000,0.1263,1.000,0.36836,0.50531,54784.85236992994,28704.565416382142,6419.270260483242,2750.5845260340066,6.522603045478445,0.7046878018505836,1.4512241765641125,0.4968330433181748,11977322.37856952,18230809.657519117,2.9673488217879602,0.3630822000034442,3971035.6645280425,2880444.189470094,0.22471189819366777,0.01951582646707269,0.24222668835252487,0.018372223125825506,1.21932,0.52401,0.85000,5.33156,1.40921,0.80697
0.5,1859.891,2.057,0.300,0.386,0.001,0.2000,0.1263,2.000,0.36836,0.50531,47697.00918444101,24980.521767710023,5726.340036997032,2447.3702411210215,6.758801565208282,0.7384582288363293,1.4985598429411018,0.5154206576669357,13883939.548711814,21136914.15942203,3.8498682126714723,0.49073702359653043,5019266.445924687,3641661.294417248,0.17105561989908405,0.014805849735418293,0.2505529035367467,0.019013145591720095,1.21932,0.52401,0.85000,5.11962,1.40921,0.80697
0.5,1859.891,2.057,0.300,0.386,0.001,0.2000,0.1263,3.000,0.36836,0.50531,41568.86421830341,21760.9577370155,5114.4741283802205,2179.6691105367568,6.995856741794076,0.7728308229079986,1.4929734770025296,0.513219857325246,15254847.968014129,23227596.814264834,4.932653182886746,0.6601524676854622,6133614.110877129,4451034.280961455,0.1277699805749668,0.011034662151336652,0.2591536250710199,0.01967623348959607,1.21932,0.52401,0.85000,4.86730,1.40921,0.80697
0.5,1859.891,2.057,0.300,0.386,0.001,0.2000,0.1263,4.000,0.36836,0.50531,36263.60531034641,18973.94076626103,4573.241000969808,1942.9194210099429,7.233587271822632,0.8077760770162778,1.440142194922668,0.4925042715918128,15968798.65495109,24317563.26107362,6.244675889849195,0.8840975576514745,7268552.790883148,5275442.211233347,0.0938375982319503,0.008092978456720083,0.2680267262511574,0.020361425995297673,1.21932,0.52401,0.85000,4.58626,1.40921,0.80697
0.5,1859.891,2.057,0.300,0.386,0.001,0.2000,0.1263,5.000,0.36836,0.50531,31669.28185771636,16560.603225591065,4094.056411513844,1733.367239503224,7.472011111986753,0.8432932298516939,1.349268845599808,0.4573083320260509,16003687.06809432,24372715.250714626,7.8153193669775884,1.1784384079040173,8378555.510687083,6081756.703805248,0.06789224817595195,0.0058505800194880294,0.2771615831888462,0.021068002708188573,1.21932,0.52401,0.85000,4.28697,1.40921,0.80697
