Pressure,Temp,nbot,fe_mant,feO_mant,S_metal,silicate_olivine%,ol_frac,C_metal,cf,Liq_frac,ave_ni,ni_err,ave_co,co_err,ave_cr,cr_err,ave_nb,nb_err,ave_w,w_err,ave_v,v_err,ave_mo,mo_err,ave_si,si_err,ave_mn,mn_err,ni_act,fe_act,Ol_D_Cr,Ol_D_V,Ol_D_Ni,Ol_D_Co
3,1897.411,2.44,10,12.865,0.001,0.3,0.214,5,0.28667,0.49933,422.2660702,133.7581713,65.33048154,10.15101338,0.201831117,0.014167089,0.000119726,3.75E-05,243.6799484,186.333367,0.05657518,0.006156053,3651.768945,2477.288486,0.000274177,2.15E-05,0.008036422,0.000599454,1.42354,0.55793,0.85,0.6915,2.20565,0.99406
3,1897.411,2.44,10,12.865,0.001,0.3,0.214,5.495,0.28667,0.49933,395.4051932,123.8758319,61.9305926,9.427448896,0.204523713,0.014358302,0.000115259,3.61E-05,238.4140324,180.9812979,0.061499894,0.006692739,3845.534384,2616.803979,0.000236293,1.85E-05,0.008154994,0.000608315,1.42354,0.55793,0.85,0.66705,2.20565,0.99406
3,1884.363,2.316,10,12.865,0.001,0.4,0.2853,0.001,0.28667,0.428,699.6084538,188.4936477,106.2771116,18.10917814,0.15496178,0.010935052,0.000119983,3.72E-05,191.562505,133.4979656,0.016136429,0.00176874,1714.162792,1095.292432,0.001413761,0.000109802,0.006839678,0.000513456,1.47971,0.59218,0.85,0.85563,2.62108,1.09165
3,1884.363,2.316,10,12.865,0.001,0.4,0.2853,1,0.28667,0.428,598.8471729,158.3538431,93.81428469,15.29560517,0.160347754,0.011314698,0.000128523,3.99E-05,225.8409038,166.5493447,0.02100668,0.002302176,2144.762727,1402.146144,0.001082016,8.40E-05,0.007100454,0.000533024,1.47971,0.59218,0.85,0.83013,2.62108,1.09165
3,1884.363,2.316,10,12.865,0.001,0.4,0.2853,2,0.28667,0.428,514.5379821,133.3223384,83.06154156,12.95958785,0.165783086,0.011697817,0.00013227,4.11E-05,252.4179205,193.1112365,0.026929939,0.002950602,2603.971954,1731.033971,0.000812509,6.31E-05,0.007365228,0.000552892,1.47971,0.59218,0.85,0.79647,2.62108,1.09165
3,1884.363,2.316,10,12.865,0.001,0.4,0.2853,3,0.28667,0.428,443.7108379,112.476916,73.75453349,11.01531505,0.171265391,0.012084243,0.000131348,4.08E-05,268.9867765,210.0235338,0.034026809,0.003727067,3076.872751,2070.795649,0.000600205,4.66E-05,0.007633868,0.000573051,1.47971,0.59218,0.85,0.7567,2.62108,1.09165
3,1884.363,2.316,10,12.865,0.001,0.4,0.2853,4,0.28667,0.428,383.9267828,95.05991293,65.66677752,9.391568859,0.176797673,0.012474191,0.000126331,3.92E-05,274.6851879,215.8876907,0.042416162,0.004644428,3548.170888,2410.089339,0.00043704,3.40E-05,0.007906507,0.000593509,1.47971,0.59218,0.85,0.71266,2.62108,1.09165
3,1884.363,2.316,10,12.865,0.001,0.4,0.2853,5,0.28667,0.428,333.2405998,80.46567782,58.61242397,8.031047205,0.182382957,0.012867878,0.000118072,3.67E-05,269.9843628,211.0195001,0.052205965,0.005714376,4002.858738,2737.855281,0.000314224,2.44E-05,0.00818328,0.000614278,1.47971,0.59218,0.85,0.66598,2.62108,1.09165
3,1884.363,2.316,10,12.865,0.001,0.4,0.2853,5.464,0.28667,0.428,313.6169028,75.09374673,55.77789219,7.507231476,0.18467491,0.01303093,0.000113976,3.54E-05,264.6532707,205.5241353,0.056567009,0.006191444,4204.795481,2883.813331,0.000273521,2.12E-05,0.008297097,0.000622839,1.47971,0.59218,0.85,0.64381,2.62108,1.09165
3,1871.078,2.185,10,12.865,0.001,0.5,0.3567,0.001,0.28667,0.35667,532.0146331,103.5859591,93.27527621,13.44218944,0.139620639,0.009917222,0.000122645,3.77E-05,222.0975758,161.0860038,0.014595568,0.001612516,1927.943497,1251.324113,0.001668352,0.000129269,0.007137492,0.000539303,1.54429,0.63211,0.85,0.82533,3.13813,1.21311
